,Postal Code,Venue,Venue Latitude,Venue Longitude,Venue Category
4629,M4L,COBS Bread,43.66988072784326,-79.30082792210273,Bakery
4630,M4L,Pomarosa Coffee & Kitchen,43.683201,-79.325849,Coffee Shop
4631,M4L,Hollandaise Diner,43.68652710817421,-79.3088972568512,Breakfast Spot
4632,M4L,Bam Breakfast and Bistro,43.6697241195373,-79.30150262403112,Breakfast Spot
4633,M4L,Mastermind Toys,43.67145295439717,-79.29397108948247,Toy / Game Store
4634,M4L,Lazy Daisy's Cafe,43.67281409083959,-79.31943769132836,Café
4635,M4L,Balmy Beach,43.668168578916216,-79.29135534728574,Beach
4636,M4L,Doll Factory by Damzels,43.662158,-79.335165,Boutique
4637,M4L,Blondie’s Pizza,43.666958,-79.330457,Pizza Place
4638,M4L,Hanoi 3 Seasons,43.662199311171825,-79.33457571173595,Vietnamese Restaurant
4639,M4L,Glen Manor Ravine,43.67682094413784,-79.29394208780985,Trail
4640,M4L,The Tulip Steakhouse,43.66634820248808,-79.31685400996346,Steakhouse
4641,M4L,Murphy's Law,43.66731906186093,-79.31265587607287,Pub
4642,M4L,Bombay Chowpatty,43.67187525209221,-79.32411369274648,Indian Restaurant
4643,M4L,Tori's Bakeshop,43.672113947269565,-79.29033140068843,Vegetarian / Vegan Restaurant
4644,M4L,Ashbridges Bay Skatepark,43.662547867049305,-79.31563069104494,Skate Park
4645,M4L,Maple Leaf Tavern,43.66827374908217,-79.34009173600943,American Restaurant
4646,M4L,Ascari Enoteca,43.66205431604801,-79.33545691089822,Italian Restaurant
4647,M4L,Te Aro,43.66137281675049,-79.33857736283377,Coffee Shop
4648,M4L,Morgan's on the Danforth,43.682044330949324,-79.33025531659852,Gastropub
4649,M4L,Sunset Grill,43.67021370116725,-79.29965336344807,Diner
4650,M4L,Lahore Paan Centre,43.67222612550265,-79.32212190790149,Snack Place
4651,M4L,Starbucks,43.682379,-79.327249,Coffee Shop
4652,M4L,DAVIDsTEA,43.67030791564607,-79.29944600461727,Tea Room
4653,M4L,Tango Palace Coffee Company,43.6625313811144,-79.33369586477887,Coffee Shop
4654,M4L,Al Mandi Restaurant مطعم المندي,43.682225048864694,-79.32933205287013,Middle Eastern Restaurant
4655,M4L,The Only Cafe,43.680408988135255,-79.33789819168385,Beer Bar
4656,M4L,Green Eggplant,43.670517,-79.29866,Mediterranean Restaurant
4657,M4L,Ted Reeve Arena,43.68452712511952,-79.29942632833531,Skating Rink
4658,M4L,Pizza Pide,43.6680476041075,-79.3403657198444,Pide Place
4659,M4L,Relish Bar & Grill,43.686280136535885,-79.31097995826282,Bar
4660,M4L,City Betty,43.6824,-79.32873,American Restaurant
4661,M4L,Sauce,43.682442435191675,-79.32817098692705,Bar
4662,M4L,Beach Hill Smokehouse,43.684105,-79.30041,BBQ Joint
4663,M4L,The Shore Leave,43.68419953532027,-79.3194130752355,Cocktail Bar
4664,M4L,Beacher Cafe,43.67193800612107,-79.29123801741737,Breakfast Spot
4665,M4L,Chick-n-Joy,43.66518127981666,-79.32140349279904,Fast Food Restaurant
4666,M5L,Adelaide Club Toronto,43.64927944291712,-79.38192123284551,Gym / Fitness Center
4667,M5L,Canoe,43.647452066183476,-79.38132001815676,Restaurant
4668,M5L,Brick Street Bakery,43.6488151631615,-79.38060468610949,Bakery
4669,M5L,Pilot Coffee Roasters,43.648835391245896,-79.3809358125033,Coffee Shop
